SKU,Desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D21805K,"Патрон: н/д
Потребляемая мощность: 770 Вт
Выходная мощность: 425 Вт
Макс. крутящий момент: 40/20 Нм
Частота холостого хода: 0-1100 / 0-2700 об/мин
Кол-во ударов в минуту: 0-18700 / 0-45900 уд/мин
Макс. диаметр сверления (Дерево): 35 мм
Макс. диаметр сверления (Металл): 13 мм
Макс. диаметр сверления (Бетон): 20 мм
Резьба шпинделя: 1/2"" X 20 U.N.F
Держатель насадки: н/д
Вес: 352 кг
Высота: 199 мм
Уровень вибрации (сверление в металле): н/д
Погрешность вибрации: н/д
Уровень вибрации при ударе: н/д
Погрешность вибрации: 2.0 м/с2
Звуковое давление: 102.8 дБ(А)
Погрешность уровня шума: н/д
Акустическая мощность: 113.8 дБ(А)
Погрешность мощности создаваемого шума: н/д




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D21805KS,"Патрон: н/д
Потребляемая мощность: 770 Вт
Выходная мощность: 425 Вт
Макс. крутящий момент: 40/20 Нм
Частота холостого хода: 0-1100 / 0-2700 об/мин
Кол-во ударов в минуту: 0-18700 / 0-45900 уд/мин
Макс. диаметр сверления (Дерево): 35 мм
Макс. диаметр сверления (Металл): 13 мм
Макс. диаметр сверления (Бетон): 20 мм
Резьба шпинделя: 1/2"" X 20 U.N.F
Держатель насадки: н/д
Вес: 352 кг
Высота: 199 мм
Уровень вибрации (сверление в металле): н/д
Погрешность вибрации: н/д
Уровень вибрации при ударе: н/д
Погрешность вибрации: 2.0 м/с2
Звуковое давление: 102.8 дБ(А)
Погрешность уровня шума: н/д
Акустическая мощность: 113.8 дБ(А)
Погрешность мощности создаваемого шума: н/д




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D24000,"Потребляемая мощность: 1600 Вт
Диаметр диска: 250 мм
Посадка: н/д
Частота холостого хода: 4200 об/мин
Макс. глубина реза: 95 мм
Макс. поперечный рез: 610 мм
Макс. размер заготовки (при 90*): 610 х 610 мм
Ширина: 686 мм
Длина: 864 мм
Держатель насадки: 32 мм
Уровень вибрации: н/д
Погрешность вибрации: н/д
Звуковое давление: 90 дБ(А)
Погрешность давления создаваемого шума: 3 dB(A)
Акустическая мощность: 103 дБ(А)
Погрешность мощности создаваемого шума: н/д









",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D240001,"Описание: Подставка для плиткореза
























",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D24000S,"Потребляемая мощность: 1600 Вт
Диаметр диска: 250 мм
Посадка: н/д
Частота холостого хода: 4200 об/мин
Макс. глубина реза: 95 мм
Макс. размер заготовки (при 90*): 610 мм
Макс. размер заготовки (при 45*): 450 мм
Ширина: 690 мм
Длина: 860 мм
Держатель насадки: 32 кг
Уровень вибрации: н/д
Погрешность К 1 (вибрация): н/д
Звуковое давление: 90 дБ(А)
Погрешность уровня шума: 3 дБ(А)
Акустическая мощность: 103 дБ(А)
Погрешность мощности создаваемого шума: н/д









",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D25033K,"Патрон: SDS-Plus
Потребляемая мощность: 710 Вт
Выходная мощность: 590 Вт
Энергия удара: н/д
Частота холостого хода: 0-1550 об/мин
Кол-во ударов в минуту: 0-5680 уд/мин
Макс. диаметр сверления (Бетон): 22 мм
Макс. диаметр сверления (Полая коронка): 50 мм
Макс. диаметр сверления (Дерево): 30 мм
Макс. диаметр сверления (Металл): 13 мм
Держатель насадки: н/д
Вес: 330 кг
Высота: 210 мм
Ширина: 75 мм
Вибрация на рукоятке при сверлении в бетон: н/д
Погрешность вибрации: н/д
Уровень вибраций (долбление): н/д
Погрешность вибрации (долбление): н/д
Вибрация на рукоятке при сверлении в металл: <2.5 м/с2
Погрешность вибрации (сверление в металле): н/д
Вибрация на рукоятке при сверлении без удара: <2.5 м/с2
Погрешность К 4 (вибрация): н/д
Звуковое давление: 89 дБ(А)
Погрешность уровня шума: н/д
Акустическая мощность: 100.1 дБ(А)
Погрешность мощности создаваемого шума: н/д",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Погрешность мощности создаваемого шума: н/д,
D25052K,"Патрон: SDS-Plus
Потребляемая мощность: 650 Вт
Выходная мощность: 330 Вт
Энергия удара: н/д
Частота холостого хода: 0-2300 об/мин
Кол-во ударов в минуту: 0–6200 уд/мин
Макс. диаметр сверления (Бетон): 20 мм
Макс. диаметр сверления (Полая коронка): 50 мм
Макс. диаметр сверления (Дерево): 30 мм
Макс. диаметр сверления (Металл): 13 мм
Держатель насадки: н/д
Вес: 295 кг
Высота: 218 мм
Ширина: 75 мм
Вибрация на рукоятке при сверлении в бетон: н/д
Погрешность вибрации: н/д
Вибрация на рукоятке при сверлении в металл: н/д
Погрешность вибрации (сверление в металле): н/д
Звуковое давление: 87 дБ(А)
Погрешность уровня шума: 3.0 dB(A)
Акустическая мощность: 98 дБ(А)
Погрешность мощности создаваемого шума: 3 dB(A)



",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D25052KT,"Патрон: SDS-Plus
Потребляемая мощность: 650 Вт
Выходная мощность: 330 Вт
Энергия удара: н/д
Частота холостого хода: 0-2300 об/мин
Кол-во ударов в минуту: 0–6200 уд/мин
Макс. диаметр сверления (Бетон): 20 мм
Макс. диаметр сверления (Полая коронка): 50 мм
Макс. диаметр сверления (Дерево): 30 мм
Макс. диаметр сверления (Металл): 13 мм
Держатель насадки: н/д
Вес: 295 кг
Высота: 218 мм
Ширина: 75 мм
Вибрация на рукоятке при сверлении в бетон: н/д
Погрешность вибрации: н/д
Вибрация на рукоятке при сверлении в металл: н/д
Погрешность вибрации (сверление в металле): н/д
Звуковое давление: 87 дБ(А)
Погрешность уровня шума: 3.0 dB(A)
Акустическая мощность: 98 дБ(А)
Погрешность мощности создаваемого шума: 3 dB(A)



",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D25133K,"Патрон: SDS-Plus
Потребляемая мощность: 800 Вт
Выходная мощность: 640 Вт
Энергия удара: 2.9 Дж
Частота холостого хода: 0-1500 об/мин
Кол-во ударов в минуту: 0-5500 уд/мин
Макс. диаметр сверления (Бетон): 26 мм
Макс. диаметр сверления (Полая коронка): 50 мм
Макс. диаметр сверления (Дерево): 30 мм
Макс. диаметр сверления (Металл): 13 мм
Держатель насадки: н/д
Вес: 335 кг
Высота: 210 мм
Ширина: 75 мм
Вибрация на рукоятке при сверлении в бетон: н/д
Погрешность вибрации: н/д
Уровень вибраций (долбление): н/д
Погрешность вибрации (долбление): н/д
Вибрация на рукоятке при сверлении в металл: <2.5 м/с2
Погрешность вибрации (сверление в металле): н/д
Вибрация на рукоятке при сверлении без удара: <2.5 м/с2
Погрешность К 4 (вибрация): н/д
Звуковое давление: 89 дБ(А)
Погрешность уровня шума: н/д
Акустическая мощность: 100.1 дБ(А)
Погрешность мощности создаваемого шума: н/д",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Погрешность мощности создаваемого шума: н/д,
D25134K,"Патрон: SDS-Plus
Потребляемая мощность: 800 Вт
Выходная мощность: 640 Вт
Энергия удара: 3.0 Дж
Частота холостого хода: 0-1500 об/мин
Кол-во ударов в минуту: 0-5540 уд/мин
Макс. диаметр сверления (Бетон): 26 мм
Макс. диаметр сверления (Полая коронка): 65 мм
Макс. диаметр сверления (Дерево): 30 мм
Макс. диаметр сверления (Металл): 13 мм
Держатель насадки: 3.0 мм
Вес: 355 кг
Высота: 210 мм
Ширина: 75 мм
Вибрация на рукоятке при сверлении в бетон: н/д
Погрешность вибрации: н/д
Уровень вибраций (долбление): н/д
Погрешность вибрации (долбление): н/д
Вибрация на рукоятке при сверлении в металл: <2.5 м/с2
Погрешность вибрации (сверление в металле): н/д
Вибрация на рукоятке при сверлении без удара: <2.5 м/с2
Погрешность К 4 (вибрация): н/д
Звуковое давление: 89 дБ(А)
Погрешность уровня шума: н/д
Акустическая мощность: 100.1 дБ(А)
Погрешность мощности создаваемого шума: н/д",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Погрешность мощности создаваемого шума: н/д,
