sku,st_komplektaciya
DWE398-QS,"пила, комплект твердосплавных пильных полотен для строительных блоков средней плотности, шестигранный ключ, руководство по эксплуатации."
DWE396-QS,"пила, комплект твердосплавных пильных полотен для строительных блоков низкой плотности, шестигранный ключ."
DWE305PK-QS,"сабельная пила, чемодан."
DWE397-QS,"твердосплавное двойное полотно класса 12, шестигранный ключ, упаковка."
DW393,"набор полотен (черные) по пористому кирпичу, защитный чехол для ножей, шестигранный ключ, коробка."
DW392,"набор полотен для резания шлакобетона (желтые), защитный чехол для ножей, шестигранный ключ."
DWE399-QS,"аллигаторная пила, твердосплавное двойное полотно для газобетона, шестигранный ключ, упаковка."
D27107V,
DW716EXPS,"пильный диск с 80 зубьями, специальный ключ."
DW771-QS,"торцовочная пила, пильный диск Series 60 с 24 зубьями, 2 крепежных болта, специальный ключ."
DWS777-QS,"торцовочная пила, пильный диск Series 60 с 24 зубьями, 2 крепежных болта, специальный ключ, струбцина, коробка."
DW713XPS,"пильный диск с 24 зубьями, ключ, пылесборник."
DW716,"пильный диск (32 зуба), специальный ключ."
D27113-QS,"торцовочная пила, система xps, пильный диск, толкатель, специальный ключ для пильных дисков, направляющая планка, защитный кожух диска, торцевой ключ, струбцина."
DW712-QS,"пильный диск с 24 зубьями, специальный ключ."
D27112-QS,"пильный диск, толкатель, специальный ключ для дисков, направляющая панка, защитный кожух диска, торцевой ключ."
DW777,"пильный диск, два крепежных болта, специальный ключ."
DW717XPS-QS,"пильный диск с 30 зубьями, ключ, пылесборник, зажим."
DWS778-QS,"пильный диск с твердосплавными напайками, струбцина, ключ для смены диска, упаковка."
DW714-KS,"торцовочная пила, упор для работы с длинными заготовками, струбцина, пылесборник, упаковка."
DWS780-QS,"пильный диск с 60 зубьями, ключ, пылесборник, струбцина."
DW713-KS,"пильный диск с 24 зубьями, переходное кольцо, ключ, пылесборник."
DWS520K-QS,"прецизионный пильный диск 48 зубьев, чемодан."
DWE576K-QS,"торцовый ключ, диск, переходник пылеотвода, параллельный упор, кейс."
D23620K,"пильный диск с 18 зубьями, параллельный упор, ключ, чемодан."
D23620,"пильный диск Series 30 с 18 зубьями, параллельный упор, ключ."
DWE560-KS,"твердосплавный пильный диск, параллельный упор, ключ для смены диска, порт для подключения пылесоса, коробка."
DWE575K-QS,"пильный диск с 24 зубьями, параллельный упор, ключ для смены диска, патрубок для пылеудаления, чемодан."
DW366-KS,"дисковая пила, пильный диск с 18 зубьями, специальный ключ, упаковка."
DWE560K-QS,"пильный диск с 24 зубьями, параллельный упор, ключ, кейс."
DWE550-QS,"дисковая пила, упаковка."
D23700-KS,"дисковая пила, прецизионный пильный диск с 24 зубьями, параллельный упор, ключ, упаковка."
D23550,"пильный диск с твердосплавными напайками, параллельный упор, ключ."
DWE560B,"пильный диск с 24 зубьями, параллельный упор, ключ, порт для подключения пылесоса, упаковка."
DCS355N-XJ,"бесщеточный многофункциональный инструмент, насадка-пилка для резки дерева, в том числе содержащего гвозди 31х43 мм, насадка-пилка для быстрой резки древесины 31х43 мм, подошва для шлифования, 25 шлифовальных листов, универсальный адаптер насадок, упаковка."
DWE315KT-QS,"насадка-пилка для резки дерева, в том числе содержащего гвозди, насадка-пилка для быстрой резки древесины, насадка-пилка для выполнения точных видов реза по древесине, насадка-пилка (полукруглая) для резки древесины, насадка (полукруглая) для удаления материала, насадка-скребок для удаления материала, подошва для шлифования, шлифовальные листы (25 шт, для работы с различными материалами), универсальный адаптер (переходник), шестигранник 5 мм, насадка для подключения к пылесосу, ограничитель глубины реза / направляющая для прямого реза, шестигранник 3 мм, чемодан t-stak."
DWE315-QS,"насадка-пилка для резки дерева, в том числе содержащего гвозди, насадка-скребок для удаления материала, насадка-подошва для шлифования, шлифовальные листы (25 шт, для работы с различными материалами), универсальный адаптер (переходник), шестигранный ключ 5 мм, упаковка."
D26500-QS,"твёрдосплавные двусторонние ножи, параллельная направляющая, направляющая для выборки четверти, переходник для пылесоса, лево- и правосторонний эжектор опилок."
D26501K,"твёрдосплавные двусторонние ножи, параллельная направляющая, направляющая для выборки четверти, переходник для пылесоса, лево- и правосторонний эжектор опилок, дефлектор для сбора стружки, чемодан."
D26500K-QS,"твёрдосплавные двусторонние ножи, параллельная направляющая, направляющая для выборки четверти, переходник для пылесоса, лево- и правосторонний эжектор опилок, дефлектор и пылесборник, чемодан."
DW680-QS,"рубанок, твердосплавные двухсторонние ножи, параллельная направляющая, переходник для сбора стружки, упаковка."
D26411-QS,"термопистолет, коническая насадка, насадка ""рыбий хвост"", руководство по эксплуатации, чертеж инструмента в разобранном виде, упаковка."
D26414-QS,"термопистолет, коническая насадка, насадка ""рыбий хвост"", руководство по эксплуатации, чертеж инструмента в разобранном виде, упаковка."
