sku,st_vykhodnaya_moshchnost,st_chislo_hodov_holostoy_hod,st_tip_patrona,st_maxdiam_sverleniya_derevo,st_derzhatel_nasadki,st_potreb_moshnost,st_max_krutyashchiy_moment,st_maxdiam_sverleniya_metal,st_rezba_spindelya,st_uroven_vibratsii_sverleniye,st_uroven_shuma,st_akusticheskaya_moshchnost,st_maxdiam_sverleniya_beton,st_maxdiam_sverleniya_kirpich,st_diametr_koltsa,st_uroven_vibratsii,st_dlina_stoyki,st_max_d_sverl_vodosborn,st_max_chastota_udarov,st_vibraciya_priudare,st_diametr_diska,st_posad_diametr,st_max_glubina_reza,st_maxsila_udara,st_max_d_sverl_pol_koron,st_chisl_oborot_pod_nagr,st_max_diam_sverl_prokh_bur,st_rabochiy_hod_frezi,st_razmer_cangi,st_maz_diam_frezi,st_chislo_oborotov,st_chastota_kolebaniy,st_razmer_shlifov_podosh,st_rashod_vozduha,st_max_skor_dvizh_lenty,st_razmer_lenty,st_maxglubina_chetverti,st_maxshirina_obrabotki,st_razmer_shlifov_podosh,st_diametr_barabana,st_chislo_oborotov,st_diametr_posad_otverstoya,st_ugol_naklona,st_regulirovka_stola,st_tip_accumulatora,st_napryazheniye_akkumulyatora,st_emkost_accumulatora,st_diametr,st_max_chastota_udarov,st_max_diametr_bolta,st_maxvrash_moment_zhestk,st_maxvrash_moment_myagk,st_max_chastota_udarov,st_chislo_khod_bez_nagr,st_velichina_hoda,st_tolshchina_propila,st_tolshchina_diska,st_ugol_zatochki,st_dlina_lezviya,st_rabochaya_dlina,st_shag_zuba,st_kolichestvo,st_tolshina_mm,st_max_glubina_reza,st_napravlenie_luchey,st_vidimost_lucha,st_max_glub_prop_derev,st_max_glub_prop_stal,st_max_glub_prop_plast,st_max_glub_prop_metall,st_max_glub_prop_cv_metall,st_uroven_vibratsii,st_max_vysota_reza,st_shirina_rezaniya_mm,st_skorost_rezaniya,st_razmer_rab_stola,st_dlina_polotna,st_vremya_ostanovki_polotna,st_obyem_baka,st_rashod_vozduha
DT9539-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,50,,1,,,,,,,,,,,,,,,,,,
DT9540-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,100,,1,,,,,,,,,,,,,,,,,,
DT9541-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,150,,1,,,,,,,,,,,,,,,,,,
DT9542-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,200,,1,,,,,,,,,,,,,,,,,,
DT9543-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,250,,1,,,,,,,,,,,,,,,,,,
DT9544-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,300,,1,,,,,,,,,,,,,,,,,,
DT9545-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,400,,1,,,,,,,,,,,,,,,,,,
DT9546-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,550,,1,,,,,,,,,,,,,,,,,,
DT9547-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,950,,1,,,,,,,,,,,,,,,,,,
DT9552-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,100,,1,,,,,,,,,,,,,,,,,,
DT9553-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,150,,1,,,,,,,,,,,,,,,,,,
DT9554-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,200,,1,,,,,,,,,,,,,,,,,,
DT9555-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,250,,1,,,,,,,,,,,,,,,,,,
DT9556-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,300,,1,,,,,,,,,,,,,,,,,,
DT9557-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,400,,1,,,,,,,,,,,,,,,,,,
DT9558-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,550,,1,,,,,,,,,,,,,,,,,,
DT9559-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,950,,1,,,,,,,,,,,,,,,,,,
DT9566-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,100,,1,,,,,,,,,,,,,,,,,,
DT9567-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,150,,1,,,,,,,,,,,,,,,,,,
DT9568-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,200,,1,,,,,,,,,,,,,,,,,,
DT9569-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,250,,1,,,,,,,,,,,,,,,,,,
DT9570-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,400,,1,,,,,,,,,,,,,,,,,,
DT9571-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,500,,1,,,,,,,,,,,,,,,,,,
DT9572-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,950,,1,,,,,,,,,,,,,,,,,,
DT9578-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,100,,1,,,,,,,,,,,,,,,,,,
DT9579-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,150,,1,,,,,,,,,,,,,,,,,,
DT9580-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,200,,1,,,,,,,,,,,,,,,,,,
DT9581-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,250,,1,,,,,,,,,,,,,,,,,,
DT9582-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,400,,1,,,,,,,,,,,,,,,,,,
DT9583-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,550,,1,,,,,,,,,,,,,,,,,,
DT9584-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,750,,1,,,,,,,,,,,,,,,,,,
DT9585-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,950,,1,,,,,,,,,,,,,,,,,,
DT9587-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,150,,1,,,,,,,,,,,,,,,,,,
DT9589-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,250,,1,,,,,,,,,,,,,,,,,,
DT9590-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,400,,1,,,,,,,,,,,,,,,,,,
DT9591-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,550,,1,,,,,,,,,,,,,,,,,,
DT9592-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,750,,1,,,,,,,,,,,,,,,,,,
DT9593-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,950,,1,,,,,,,,,,,,,,,,,,
DT9598-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,250,,1,,,,,,,,,,,,,,,,,,
DT9599-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,400,,1,,,,,,,,,,,,,,,,,,
DT9600-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,550,,1,,,,,,,,,,,,,,,,,,
DT9601-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,950,,1,,,,,,,,,,,,,,,,,,
DT9602-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,200,,1,,,,,,,,,,,,,,,,,,
DT9604-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,400,,1,,,,,,,,,,,,,,,,,,
DT9605-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,550,,1,,,,,,,,,,,,,,,,,,
DT9606-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,750,,1,,,,,,,,,,,,,,,,,,
DT9607-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,950,,1,,,,,,,,,,,,,,,,,,
DT9610-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,400,,1,,,,,,,,,,,,,,,,,,
DT9613-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,400,,1,,,,,,,,,,,,,,,,,,
DT9614-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,950,,1,,,,,,,,,,,,,,,,,,
DT9615-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,200,,1,,,,,,,,,,,,,,,,,,
DT9616-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,400,,1,,,,,,,,,,,,,,,,,,
DT9617-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,750,,1,,,,,,,,,,,,,,,,,,
DT9618-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,200,,1,,,,,,,,,,,,,,,,,,
DT9619-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,400,,1,,,,,,,,,,,,,,,,,,
DT9621-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,250,,1,,,,,,,,,,,,,,,,,,
DT9760-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT9761-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT9762-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT9763-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT9765-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT9766-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT9767-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT9769-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT9770-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT9771-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT9772-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT9773-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT9774-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT9777-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DW03050-XJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DW03101-XJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,
DW083K-XJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,вверх/вниз/вперед,30,,,,,,,,,,,,,,
DW085K-XJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,вверх/вниз/вперед/влево/вправо,30,,,,,,,,,,,,,,
DW088K-XJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,вертикаль/горизонталь,10,,,,,,,,,,,,,,
DW089K-XJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,вертикаль/горизонталь/бок,15,,,,,,,,,,,,,,
DW096PK-XJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DW217-QS,340,4000,,20,,675,,8,"3/8"" x 24 U.N.F",,74,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DW221-QS,385,2500,,25,,701,,10,"1/2"" x 20 U.N.F",,74,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DW236I-QS,385,850,,30,,701,"35,8",13,"1/2"" x 20 U.N.F","2,5",74,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DW246-QS,385,600,,35,,701,"57,3",13,"1/2"" x 20 U.N.F","2,5",74,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DW263K-QS,295,2500,,,,540,,,,,87,94,,,,"2,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DW268K-QS,295,2500,,,,540,,,,,85,92,,,,"2,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DW269K-QS,295,1000,,,,540,,,,,84,91,,,,"2,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DW274K-QS,295,4000,,,,540,10,,,,87,92,,,,"2,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DW292-QS,370,2200,,,,710,440,,,,84,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700,M20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DW294-QS,370,2200,,,,710,440,,,,84,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700,M20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DW310K-QS,630,,,,4,1200,,,,,90,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600,28,,,,,,,,,,,,300,130,160,,,,,,,,,,,
DW311K-QS,630,,,,4,1200,,,,,89,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600,28,,,,,,,,,,,,300,130,160,,,,,,,,,,,
DW331K-QS,445,,,,,701,,,,2,86,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,3100,26,,,,,,,,,,,,130,,,12,30,5,,,,,,,,
DW333K-QS,445,,,,,701,,,,,87,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,3100,26,,,,,,,,,,,,130,,,12,30,7,,,,,,,,
DW341K-QS,350,,,,2,550,,,,,89,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,3100,20,,,,,,,,,,,,85,,,10,20,,,,,,,,,
DW366-KS,,5800,,,,1800,,,,,,,,,,,,,,,184,,,,,,,,,,,,,,,,,,,,,16,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DW621-QS,620,24000,,,,1100,,,,,86,95,,,,,,,,,,,,,,,,55,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DW621K-QS,620,24000,,,,1100,,,,,86,95,,,,,,,,,,,,,,,,55,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DW625E-QS,1400,20000,,,,2000,,,,,92,100,,,,3,,,,,,,,,,,,80,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DW677-QS,350,15000,,,,600,,,,,88,97,,,,,,,,,,,,,,,,,,,,,,,,,12,82,290,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DW680-QS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DW682K-QS,335,10000,,,3,600,,,,,82,100,,,,,,,,,,,20,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DW711-QS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DW713-KS,1000,,,,,1600,,,,,,,,,,,,,,,250,,89,,,,,,,,,,,,,,,,,,5000,30,-3 до 48 ,50/50 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DW717XPS-QS,750,,,,23,1675,,,,,91,99,,,,,,,,,250,,152,,,,,,,,,,,,,,,,,,4000,30,48/48 ,50/60 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DW721KN-QS,1580,,,,,2000,,,,,"96,5","109,5",,,,2,,,,,300,,90,,,,,,,,,,,,,,,,,,3000,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,
DW729KN-XS,3300,,,,,4000,,,,,96,109,,,,2,,,,,350,,110,,,,,,,,,,,,,,,,,,2780,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,
DW733-QS,1000,10000,,,,1800,,,,,108,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DW738-QS,550,,,,23,749,,,,,92,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,310,13,380x380,,,,
DW739-QS,550,,,,23,749,,,,,92,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,310,13,380x380,,,,
DW743N-QS,1550,,,,37,2000,,,,,"93,5","106,5",,,,,,,,,250,,,,,,,,,,,,,,,,,,,,2850,30,45,45/45 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DW745-QS,,,,,22,1850,,,,,96,109,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,3800,30,-3 до 48 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630x570,,,,
DW872-QS,1350,1300,,,,2200,,,,,95,108,,,,,,,,,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DW876-QS,750,,,,54,1000,,,,,82,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,310,15,500x500,,,,
DW882-QS,1200,5600,,,,1800,,,M16,,"90,7","98,7",,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DWC410-QS,800,,,,3,1300,,,,,102,113,,,,,,,,,110,20,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DWD014S-QS,269,2800,,25,,550,,10,"1/2"" x 20 U.N.F",,82,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DWD024-KS,302,2800,,25,,701,,13,"1/2"" x 20 U.N.F",,94,105,16,,,,,,47600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DWD024S-KS,302,2800,,25,,701,,13,"1/2"" x 20 U.N.F",,94,105,16,,,,,,47500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DWD112S-KS,358,2500,,25,,701,,10,"1/2"" x 20 U.N.F",13,83,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DWD115KS-QS,358,2500,,25,,701,,10,"1/2"" x 20 U.N.F",13,83,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DWD522KS-QS,415,3500,,40,,950,40,13,"1/2"" x 20 U.N.F",,94,105,20,,,,,,56000,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DWD524KS-QS,540,3500,,40,,1100,40,13,"1/2"" x 20 U.N.F",,94,105,22,,,,,,56000,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DWD530KS-QS,680,3500,,40,,1300,40,16,"1/2"" x 20 U.N.F",7,93,104,22,,,,,,56000,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DWE1622K-QS,,450,,,,1200,,,,,"91,5","102,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DWE305PK-QS,,,,,,1100,,,,,90,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800,29,,,,,,,,,,,,280,100,130,,,,,,,,,,,
DWE315-QS,300,,,,,,,,,,86,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DWE315KT-QS,300,,,,,,,,,,86,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DWE396-QS,840,,,,,1600,,,,,95,104,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,40,,,,,,,,,,,,,,,,,,,,,,295,"0,2",,
DWE397-QS,900,,,,,1700,,,,,95,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,40,,,,,,,,,,,,,,,,,,,,,,430,"0,2",,
DWE398-QS,900,,,,,1700,,,,,95,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,40,,,,,,,,,,,,,,,,,,,,,,430,"0,2",,
DWE399-QS,900,,,,,1700,,,,,95,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,40,,,,,,,,,,,,,,,,,,,,,,430,"0,2",,
DWE4015-KS,,,,,,730,,,M14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DWE4051-KS,,11800,,,,800,,,M14,,91,101,,,,,,,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DWE4150-KS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DWE4151-KS,,11800,,,,900,,,M14,,90,101,,,,,,,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DWE4205-KS,,11000,,,,1010,,,M14,"2,5",90,101,,,,,,,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
