sku,st_korotko_o_tovare,st_preimushchestva,st_oblast_primeneniya,st_osobennosti
D21510-QS,"дрель-миксер, 710 Вт, 50 Нм, регулятор оборотов 0-550 об./мин., патрон М14, 3.0 кг","Идеально подходит для смешивания краски, бетона и т.д.
Без реверса
550 об/мин обеспечивают высокий крутящий момент
Применяется со всеми смесителями диаметром до 160 мм (резьба М14)
2-х позиционная задняя и 3-х позиционная боковая рукоятки














","Для изготовления и перемешивания различных смесей
Краска, плитка, цемент, раствор

















",
D21160-QS,"угловая дрель, 350 Вт, регулятор оборотов 0-1200 об/мин","Специально разработана для работы в труднодоступных местах
Компактный и легкий дизайн
Большой выключатель обеспечивает высокую эргономику и снижает усталость при работе
Высокий крутящий момент обеспечивает сверление большими диаметрами
Высококачественный 10 мм ключевой патрон обеспечивает точность и надёжность
Электронная регулировка скорости

Электронная регулировка скорости











","Специально разработана для работы в труднодоступных местах


















",
DWD522KS-QS,"ударная дрель, 950 Вт, 2 скорости, регулятор оборотов 0-1250/3500 об./мин., макс. момент  40/20 Нм, 0-56000 уд./мин., ограничитель глубины, защита от перегрузки, БЗП патрон 13 мм, кофр, 2.8 кг","Улучшенные характеристики сверления благодаря новому двигателю
Уникальный совмещённый переключатель скорости и режимов работы
2-х скоростной редуктор в металлическом корпусе для сверления разных материалов
Механическая предохранительная муфта обеспечивает контроль и защиту пользователя
Прочный 13-миллиметровый быстрозажимной стальной патрон для быстрой смены принадлежностей
Новый чувствительный выключатель переменной скорости позволяет пользователю аккуратно начинать сверление
Прорезиненная задняя рукоятка для удобства пользователя












","Сверление с ударом
Сверление металла
Различные возможности применения (см. таблицу)
















",
DWD024KS,,,,
DWD530KS-QS,"ударная дрель, 1300 Вт, 2 скорости, регулятор оборотов 0-1250/3500 об./мин., макс. момент  40/20 Нм, 0-56000 уд./мин., ограничитель глубины, защита от перегрузки, Perform Protect, БЗП патрон 13 мм, кофр, 2.8 кг","Улучшенные характеристики сверления благодаря новому двигателю
2-х скоростной редуктор в металлическом корпусе для сверления разных материалов
Электромеханическая предохранительная муфта обеспечивает контроль и защиту пользователя
Уникальный совмещённый переключатель скорости и режимов работы
Прочный 13-миллиметровый быстрозажимной стальной патрон для быстрой смены принадлежностей
Чувствительный выключатель переменной скорости позволяет пользователю точно выбирать скорость сверления и начинать сверлить отверстие
Прорезиненная задняя рукоятка обеспечивает комфорт при работах по сверлению и сверлению с ударом
Электронная муфта обеспечивает защиту от перегрузки











","Сверление с ударом
Сверление металла
Различные возможности применения (см. таблицу)
















",
D21721K-QS,"ударная дрель, 650 Вт,  2 скорости, регулятор оборотов 0-1100/2600 об./мин., макс. момент  30/12 Нм, 0-19000/44200 уд./мин., ограничитель глубины, БЗП патрон 13 мм, кофр, 2.1 кг","Компактный дизайн и низкий вес
2-х скоростной редуктор для увеличения крутящего момента
Электронная регулировка скорости и реверс
Дополнительная пылезащита выключателя















","Сверление в бетоне, каменной кладке, стали и дереве
Крепеж

















",
D21720,,,,
D21716,,,,
D21717K,,,,
D21805-QS,"ударная дрель, 770 Вт,  2 скорости, регулятор оборотов 0-1100/2700 об./мин., макс. момент  40/20 Нм, 0-18700/45900 уд./мин., ограничитель глубины, ключевой патрон 13 мм, кофр, 2.3 кг","2-х скоростной редуктор для увеличения крутящего момента
Улучшенные характеристики сверления благодаря новому двигателю
Улучшенная эргономика, обеспечиваемая новым полимерным корпусом редуктора и прорезиненными накладками
Новая конструкция переключения передач редуктора для увеличения срока службы
Запатентованная система поддержки якоря














","Сверление с ударом
Сверление металла
Шлифование
















",
DWD024-KS,"ударная дрель, 701 Вт, регулятор оборотов 0-2800 об/мин, макс. момент 8.6 Нм, 47600 уд./мин., кнопка блокировки включения, ограничитель глубины, ключевой патрон 13 мм 1.82кг","Малый вес дрели обеспечивает удобство использования и снижает усталость пользователя
Компактный дизайн позволяет работать в труднодоступных местах
Превосходное соотношение мощности и размеров дрели
Выключатель с плавной регулировкой скорости позволяет сверлить отверстия с высокой точностью
Прорезиненная рукоятка обеспечивает комфортное сверление с/без удара
Блокировка выключателя позволяет работать с постоянно включенным вращением













","Сверление в бетоне, каменной кладке, стали и дереве
Крепеж

















",
DWD024S-KS,"ударная дрель, 701 Вт, регулятор оборотов 0-2800 об/мин, макс. момент 8.6 Нм, 47600 уд./мин., кнопка блокировки включения, ограничитель глубины, БЗП патрон 13 мм 1.82кг","Малый вес дрели обеспечивает удобство использования и снижает усталость пользователя при работе
Компактный дизайн позволяет работать в труднодоступных местах
Превосходное соотношение мощности и размеров дрели
Выключатель с плавной регулировкой скорости позволяет сверлить отверстия с высокой точностью
Прорезиненная рукоятка обеспечивает комфортное сверление с/без удара
Блокировка выключателя позволяет работать с постоянно включенным вращением
Быстрозажимной патрон для легкой смены принадлежностей












","Сверление в бетоне, каменной кладке, стали и дереве
Крепеж

















",
DWD524KS-QS,"ударная дрель, 1100 Вт, 2 скорости, регулятор оборотов 0-1250/3500 об./мин., макс. момент  40/20 Нм, 0-56000 уд./мин., ограничитель глубины, защита от перегрузки, БЗП патрон 13 мм, кофр, 2.8 кг","Улучшенные характеристики сверления благодаря новому двигателю
Уникальный совмещённый переключатель скорости и режимов работы
2-х скоростной редуктор в металлическом корпусе для сверления разных материалов
Механическая предохранительная муфта обеспечивает контроль и защиту
Прочный 13-миллиметровый быстрозажимной стальной патрон для быстрой смены принадлежностей
Новый чувствительный выключатель переменной скорости позволяет пользователю аккуратно начинать сверление
Прорезиненная рукоятка для лучшего баланса и комфорта












","Сверление с ударом
Сверление металла
Различные возможности применения (см. таблицу)
















",
D21805KS-QS,"ударная дрель, 770 Вт,  2 скорости, регулятор оборотов 0-1100/2700 об./мин., макс. момент  40/20 Нм, 0-18700/45900 уд./мин., ограничитель глубины, БЗП патрон 13 мм, кофр, 2.3 кг","2-х скоростной редуктор для увеличения крутящего момента
Улучшенные характеристики сверления благодаря новому двигателю
Улучшенная эргономика, обеспечиваемая новым полимерным корпусом редуктора и прорезиненными накладками
Новая конструкция переключения передач редуктора для увеличения срока службы
Запатентованная система поддержки якоря














","Сверление с ударом
Сверление металла
Шлифование
















",
